Type;ID;X;Y;Z
2;1;42.6925;0;0
2;1;-17.7664;0;38.8202
2;1;-27.9057;0;-32.3098
2;1;40.9921;0;-11.929
2;1;-6.21177;0;42.2382
2;1;-35.8221;0;-23.2256
2;1;36.0263;0;-22.9077
2;1;5.83766;0;42.2915
2;1;-40.8849;0;-12.2913
2;1;28.1906;0;-32.0616
2;1;17.4221;0;38.976
2;1;-42.6909;0;-0.377885
2;1;18.1093;0;-38.6614
2;1;27.6186;0;32.5556
2;1;-41.0961;0;11.5657
2;1;6.58539;0;-42.1816
2;1;35.6151;0;23.5418
2;1;-36.2276;0;22.5879
2;1;-5.4631;0;-42.3416
2;1;40.7745;0;12.6527
2;1;-28.4733;0;31.8108
2;1;-17.0764;0;-39.1286
2;1;42.6859;0;0.75574
2;1;-18.4508;0;38.4996
2;1;-27.3294;0;-32.7987
2;1;41.1969;0;-11.2014
2;1;-6.95849;0;42.1216
2;1;-35.4053;0;-23.8561
2;1;36.4261;0;-22.2663
2;1;5.0881;0;42.3883
2;1;-40.6609;0;-13.0131
2;1;28.7537;0;-31.5575
2;1;16.7294;0;39.2782
2;1;-42.6775;0;-1.13354
2;1;18.7908;0;-38.3348
2;1;27.038;0;33.0394
2;1;-41.2944;0;10.8364
2;1;7.33105;0;-42.0584
2;1;35.1928;0;24.1686
2;1;-36.6218;0;21.943
2;1;-4.71271;0;-42.4316
2;1;40.5442;0;13.3725
2;1;-29.0319;0;31.3018
2;1;-16.3811;0;-39.4248
2;1;42.6658;0;1.51124
2;1;-19.1294;0;38.167
2;1;-26.7445;0;-33.2774
2;1;41.3887;0;-10.4704
2;1;-7.70303;0;41.9919
2;1;-34.9775;0;-24.4791
2;1;36.8146;0;-21.618
2;1;4.33695;0;42.4717
2;1;-40.4242;0;-13.7309
2;1;29.3079;0;-31.0436
2;1;16.0315;0;39.5682
2;1;-42.6507;0;-1.88883
2;1;19.4665;0;-37.9962
2;1;26.4489;0;33.5128
2;1;-41.4797;0;10.1037
2;1;8.07442;0;-41.922
2;1;34.7595;0;24.7878
2;1;-37.0045;0;21.2913
2;1;-3.96085;0;-42.5084
2;1;40.3011;0;14.0881
2;1;-29.5815;0;30.7829
2;1;-15.6806;0;-39.7086
2;1;42.6323;0;2.26627
2;1;-19.802;0;37.8224
2;1;-26.1512;0;-33.7456
2;1;41.5675;0;-9.73613
2;1;-8.44516;0;41.8489
2;1;-34.5387;0;-25.0945
2;1;37.1915;0;-20.963
2;1;3.58444;0;42.5418
2;1;-40.1748;0;-14.4443
2;1;29.8528;0;-30.5199
2;1;15.3285;0;39.8458
2;1;-42.6106;0;-2.64354
2;1;20.136;0;-37.6456
2;1;25.8515;0;33.9758
2;1;-41.6521;0;9.36782
2;1;8.81525;0;-41.7725
2;1;34.3152;0;25.3992
2;1;-37.3756;0;20.6329
2;1;-3.20775;0;-42.5719
2;1;40.0454;0;14.7993
2;1;-30.1218;0;30.2545
2;1;-14.9752;0;-39.9799
2;1;42.5856;0;3.02059
2;1;-20.4685;0;37.4659
2;1;-25.5498;0;-34.2032
2;1;41.7334;0;-8.99878
2;1;-9.18465;0;41.6929
2;1;-34.0891;0;-25.7019
2;1;37.5568;0;-20.3013
2;1;2.83081;0;42.5986
2;1;-39.9128;0;-15.1532
2;1;30.3884;0;-29.9867
2;1;14.6208;0;40.1109
2;1;-42.5571;0;-3.39741
2;1;20.7993;0;-37.2833
2;1;25.246;0;34.4281
2;1;-41.8114;0;8.62903
2;1;9.55332;0;-41.6099
2;1;33.8602;0;26.0027
2;1;-37.735;0;19.9681
2;1;-2.45364;0;-42.622
2;1;39.7771;0;15.5059
2;1;-30.6526;0;29.7165
2;1;-14.2652;0;-40.2388
2;1;42.5254;0;3.77397
2;1;-21.1285;0;37.0977
2;1;-24.9403;0;-34.6502
2;1;41.8861;0;-8.25861
2;1;-9.92125;0;41.5238
2;1;-33.6287;0;-26.3013
2;1;37.9102;0;-19.6333
2;1;2.07629;0;42.642
2;1;-39.6383;0;-15.8574
2;1;30.9144;0;-29.444
2;1;13.9084;0;40.3635
2;1;-42.4903;0;-4.15022
2;1;21.456;0;-36.9093
2;1;24.6326;0;34.8696
2;1;-41.9576;0;7.88754
2;1;10.2884;0;-41.4343
2;1;33.3946;0;26.598
2;1;-38.0825;0;19.297
2;1;-1.69877;0;-42.6587
2;1;39.4964;0;16.2076
2;1;-31.1738;0;29.1692
2;1;-13.5506;0;-40.485
2;1;42.4519;0;4.52616
2;1;-21.7819;0;36.7179
2;1;-24.323;0;-35.0862
2;1;42.0258;0;-7.51585
2;1;-10.6547;0;41.3416
2;1;-33.1579;0;-26.8925
2;1;38.2518;0;-18.9591
2;1;1.32112;0;42.6721
2;1;-39.3514;0;-16.5566
2;1;31.4308;0;-28.8922
2;1;13.1917;0;40.6033
2;1;-42.4102;0;-4.90173
2;1;22.106;0;-36.5237
2;1;24.0115;0;35.3001
2;1;-42.0906;0;7.14357
2;1;11.0203;0;-41.2457
2;1;32.9186;0;27.185
2;1;-38.4182;0;18.6198
2;1;-0.943361;0;-42.6821
2;1;39.2033;0;16.9042
2;1;-31.6853;0;28.6128
2;1;-12.8318;0;-40.7185
2;1;42.3652;0;5.27693
2;1;-22.4284;0;36.3266
2;1;-23.6981;0;-35.5113
2;1;42.1522;0;-6.77073
2;1;-11.3849;0;41.1465
2;1;-32.6766;0;-27.4753
2;1;38.5815;0;-18.279
2;1;0.565531;0;42.6888
2;1;-39.0522;0;-17.2506
2;1;31.9373;0;-28.3313
2;1;12.4709;0;40.8305
2;1;-42.3168;0;-5.65171
2;1;22.7491;0;-36.1266
2;1;23.3829;0;35.7197
2;1;-42.2105;0;6.39737
2;1;11.7487;0;-41.0441
2;1;32.4322;0;27.7634
2;1;-38.7417;0;17.9368
2;1;-0.187657;0;-42.6921
