Number;Type;X;Y;Z
1;3;0.530404;0.815808;0.650110
1;3;0.440695;0.839120;0.565081
1;3;0.274090;0.787328;0.392473
1;3;0.615962;0.958248;0.756652
1;3;0.795580;0.931451;0.929972
1;3;0.860932;0.822262;0.977664
1;3;0.469676;0.287019;0.508390
1;3;0.714939;0.371941;0.763830
1;3;0.845899;0.077533;0.847718
1;3;0.308696;0.325244;0.355251
1;3;0.691259;0.324476;0.733100
1;3;0.904270;0.627606;0.990398
1;3;0.986317;0.150950;0.997796
1;3;0.249942;0.891551;0.384722
1;3;0.007667;0.399817;0.069364
1;3;0.102894;0.571529;0.189984
1;3;0.375337;0.309764;0.418700
1;3;0.861752;0.625743;0.948103
1;3;0.647704;0.499059;0.717048
1;3;0.547113;0.019976;0.543627
1;3;0.480043;0.079279;0.486528
1;3;0.596488;0.269684;0.631000
1;3;0.850161;0.694454;0.947270
1;3;0.518375;0.265620;0.553197
1;3;0.191913;0.881339;0.325813
1;3;0.276697;0.934590;0.417807
1;3;0.609646;0.835622;0.731462
1;3;0.993760;0.145210;1.004262
1;3;0.707964;0.066950;0.709805
1;3;0.185026;0.803200;0.306932
1;3;0.592754;0.889968;0.723172
1;3;0.348519;0.538368;0.427533
1;3;0.243584;0.443479;0.309194
1;3;0.093402;0.710947;0.202152
1;3;0.575451;0.430602;0.635084
1;3;0.756882;0.250753;0.786541
1;3;0.767970;0.272994;0.800933
1;3;0.181647;0.185699;0.208163
1;3;0.432730;0.823042;0.554727
1;3;0.678111;0.435007;0.737191
1;3;0.654295;0.695691;0.753948
1;3;0.707515;0.374577;0.756903
1;3;0.890815;0.042367;0.886660
1;3;0.420214;0.722230;0.526782
1;3;0.711952;0.088054;0.717007
1;3;0.082514;0.051637;0.089503
1;3;0.147073;0.715203;0.255836
1;3;0.800657;0.620088;0.886868
1;3;0.905549;0.128304;0.914498
1;3;0.730980;0.670873;0.825877
1;3;0.057946;0.001978;0.057555
1;3;0.120383;0.522599;0.199701
1;3;0.841315;0.554203;0.916856
1;3;0.793377;0.757257;0.900874
1;3;0.605473;0.307089;0.645658
1;3;0.929406;0.200696;0.949256
1;3;0.730437;0.082498;0.734411
1;3;0.972892;0.847657;1.092203
1;3;0.415039;0.027831;0.414354
1;3;0.181722;0.977901;0.330667
1;3;0.209848;0.255386;0.246795
1;3;0.426278;0.487333;0.496471
1;3;0.102951;0.785752;0.223147
1;3;0.258981;0.598919;0.348429
1;3;0.268837;0.027658;0.269881
1;3;0.094452;0.185479;0.121982
1;3;0.911246;0.740307;1.014707
1;3;0.039458;0.184221;0.067454
1;3;0.202265;0.696989;0.307550
1;3;0.896137;0.165294;0.910916
1;3;0.942216;0.896447;1.069436
1;3;0.096777;0.127571;0.115330
1;3;0.163844;0.689286;0.268400
1;3;0.360116;0.253932;0.395034
1;3;0.381317;0.671706;0.480543
1;3;0.753684;0.975837;0.895439
1;3;0.945055;0.984329;1.085822
1;3;0.049605;0.036690;0.054679
1;3;0.040008;0.015171;0.041872
1;3;0.259804;0.395598;0.317820
1;3;0.197762;0.471561;0.268263
1;3;0.332203;0.929680;0.471887
1;3;0.475541;0.762608;0.587684
1;3;0.420439;0.792051;0.537794
1;3;0.145111;0.891811;0.281191
1;3;0.640606;0.542804;0.716797
1;3;0.428903;0.336738;0.475791
1;3;0.913647;0.811468;1.028078
1;3;0.006260;0.971479;0.156320
1;3;0.615953;0.129815;0.628615
1;3;0.537455;0.600175;0.623751
1;3;0.682889;0.576303;0.763749
1;3;0.095673;0.810862;0.219837
1;3;0.885962;0.594428;0.967183
1;3;0.707854;0.739474;0.813630
1;3;0.911608;0.660665;1.002757
1;3;0.781990;0.822763;0.899747
1;3;0.988300;0.271580;1.018397
1;3;0.298182;0.685293;0.400507
1;3;0.110826;0.573541;0.198131
1;3;0.657559;0.383826;0.708976
1;3;0.100799;0.949799;0.246373
1;3;0.539681;0.196885;0.563625
1;3;0.909453;0.408674;0.961685
1;3;0.655482;0.970633;0.797612
1;3;0.210988;0.233895;0.244600
1;3;0.576488;0.383406;0.628815
1;3;0.649778;0.767135;0.760527
1;3;0.409092;0.603025;0.497371
1;3;0.476248;0.337735;0.522722
1;3;0.797301;0.960161;0.936108
1;3;0.858298;0.923195;0.990660
1;3;0.675940;0.181213;0.695825
1;3;0.221461;0.585164;0.309234
1;3;0.308882;0.941119;0.450614
1;3;0.994364;0.418739;1.047131
1;3;0.186865;0.265991;0.225727
1;3;0.719264;0.482294;0.785158
1;3;0.295363;0.497673;0.368727
1;3;0.988639;0.348543;1.030626
1;3;0.523317;0.238289;0.553856
1;3;0.331082;0.006818;0.328158
1;3;0.329176;0.428617;0.391461
1;3;0.629739;0.249437;0.660722
1;3;0.644587;0.315259;0.685564
1;3;0.508195;0.067848;0.512575
1;3;0.285676;0.440126;0.350263
1;3;0.325721;0.064019;0.331701
1;3;0.918219;0.287638;0.951640
1;3;0.701218;0.648530;0.793020
1;3;0.836902;0.793250;0.949439
1;3;0.432963;0.147320;0.450529
1;3;0.019693;0.078888;0.031648
1;3;0.755174;0.577252;0.835312
1;3;0.575634;0.108445;0.585478
1;3;0.845719;0.492031;0.911599
1;3;0.449784;0.756149;0.561238
1;3;0.994646;0.480570;1.056965
1;3;0.400575;0.653558;0.496765
1;3;0.411944;0.778469;0.527302
1;3;0.954021;0.481497;1.016971
1;3;0.539902;0.265618;0.574465
1;3;0.880374;0.092487;0.884090
1;3;0.922704;0.559021;0.998012
1;3;0.338685;0.918472;0.476560
1;3;0.503437;0.057040;0.506203
1;3;0.234326;0.930720;0.375347
1;3;0.066785;0.175291;0.093073
1;3;0.025111;0.421959;0.090020
1;3;0.533670;0.046081;0.534380
1;3;0.399741;0.070691;0.405864
1;3;0.759351;0.832505;0.878886
1;3;0.012872;0.129111;0.032671
1;3;0.072179;0.292558;0.116525
1;3;0.721589;0.372369;0.770467
1;3;0.146488;0.392401;0.205371
1;3;0.101644;0.583097;0.190537
1;3;0.186842;0.579754;0.274194
1;3;0.260495;0.084396;0.270408
1;3;0.658673;0.379490;0.709407
1;3;0.379257;0.530246;0.456646
1;3;0.041884;0.061086;0.050822
1;3;0.710886;0.706742;0.811568
1;3;0.215920;0.984477;0.365470
1;3;0.582002;0.467437;0.647249
1;3;0.416241;0.947803;0.557717
1;3;0.093830;0.419088;0.157470
1;3;0.319586;0.845244;0.446373
1;3;0.297258;0.934490;0.438106
1;3;0.755331;0.901147;0.885523
1;3;0.879433;0.306942;0.916304
1;3;0.256565;0.386365;0.313192
1;3;0.694472;0.855955;0.818411
1;3;0.105144;0.736211;0.217657
1;3;0.764569;0.978318;0.906576
1;3;0.404070;0.377323;0.457529
1;3;0.042704;0.545588;0.126507
1;3;0.285152;0.313641;0.330198
1;3;0.307904;0.696122;0.411786
1;3;0.443997;0.938245;0.583663
1;3;0.440350;0.430393;0.501574
1;3;0.224516;0.188648;0.250973
1;3;0.440078;0.776216;0.554749
1;3;0.768022;0.804548;0.883133
1;3;0.412845;0.336200;0.459843
1;3;0.866719;0.496510;0.933039
1;3;0.085501;0.253968;0.123722
1;3;0.976966;0.281301;1.008702
1;3;0.521001;0.134449;0.535520
1;3;0.728879;0.076071;0.731878
1;3;0.858586;0.641034;0.947339
1;3;0.085553;0.391856;0.145084
1;3;0.238493;0.743451;0.350523
1;3;0.270540;0.433065;0.334217
1;3;0.121396;0.471958;0.192876
1;3;0.252238;0.597530;0.341552
1;3;0.258247;0.949397;0.401868
1;3;0.102648;0.619100;0.197092
1;3;0.269217;0.758977;0.383277
1;3;0.812293;0.306641;0.849924
1;3;0.370169;0.503435;0.443525
1;3;0.151948;0.179144;0.177808
1;3;0.410140;0.245396;0.443137
1;3;0.542959;0.151152;0.559795
1;3;0.543162;0.553829;0.622227
1;3;0.058765;0.014613;0.060318
1;3;0.705407;0.618399;0.792502
1;3;0.879895;0.144260;0.891618
1;3;0.658064;0.776341;0.770136
1;3;0.155184;0.699809;0.261471
1;3;0.665493;0.234854;0.693793
1;3;0.583037;0.230449;0.611647
1;3;0.638580;0.708526;0.740406
1;3;0.776877;0.329707;0.818498
1;3;0.704376;0.451081;0.765625
1;3;0.534853;0.934228;0.672806
1;3;0.103418;0.724657;0.214167
1;3;0.388307;0.334866;0.435393
1;3;0.108860;0.366369;0.164172
1;3;0.293302;0.563909;0.376926
1;3;0.755006;0.267822;0.787325
1;3;0.531531;0.578606;0.614565
1;3;0.381765;0.286200;0.421408
