Number;Type;X;Y;Z
1;2;78.105335;0.212314;1.797342
1;2;-31.803182;-1.820367;74.082701
1;2;-51.401997;0.813601;-56.381691
1;2;72.421587;2.005941;-19.814843
1;2;-12.029165;-0.807901;77.912452
1;2;-64.758896;-0.952522;-41.153038
1;2;65.838060;0.635727;-40.564894
1;2;10.368054;1.527203;74.506508
1;2;-72.356866;-4.808739;-23.992957
1;2;53.098202;1.283872;-55.824335
1;2;30.603914;-0.983355;71.407958
1;2;-80.471932;1.312766;1.543837
1;2;29.102316;-1.731185;-68.110616
1;2;48.658132;2.678191;55.783948
1;2;-77.050581;-1.166632;18.734882
1;2;10.040854;-1.435880;-76.478357
1;2;65.072596;0.924512;43.275582
1;2;-68.716313;-3.793456;38.560507
1;2;-5.638218;-3.341026;-77.123263
1;2;72.211030;-0.316701;24.540640
1;2;-52.367781;1.146159;57.371400
1;2;-32.082720;0.913675;-70.142667
1;2;77.036618;3.748389;4.896508
1;2;-35.174585;3.163783;70.706413
1;2;-50.852518;-2.039903;-56.729962
1;2;72.266878;-2.310309;-20.098428
1;2;-12.727896;-2.731753;75.901726
1;2;-63.104898;-4.646422;-45.798083
1;2;66.896295;-1.716292;-43.226414
1;2;10.171364;-0.077885;78.664197
1;2;-73.493509;-1.854278;-22.093199
1;2;51.586108;-2.608976;-56.014242
1;2;30.687730;-1.012767;69.689955
1;2;-77.149380;2.292057;0.723374
1;2;35.577532;-2.591966;-68.155943
1;2;52.760157;-2.148144;63.043852
1;2;-72.653076;-0.163459;20.732439
1;2;9.739899;-2.554851;-73.233371
1;2;64.705265;0.174281;41.618448
1;2;-65.635942;0.374556;38.961440
1;2;-6.240200;-3.401027;-76.413065
1;2;72.946012;-1.741709;24.271764
1;2;-50.244900;-6.417973;55.574033
1;2;-29.622729;1.615455;-73.917057
1;2;78.025094;-1.593427;1.661089
1;2;-31.412866;-0.361336;70.911064
1;2;-47.695542;-0.891483;-61.189817
1;2;77.879666;-0.476662;-18.733796
1;2;-13.332350;2.077185;75.222589
1;2;-62.500963;-0.353426;-44.757164
1;2;67.131721;1.932841;-36.200976
1;2;6.636089;1.385148;77.259403
1;2;-73.711860;-1.975931;-26.310690
1;2;52.502154;-0.587472;-53.263221
1;2;28.543390;1.162451;70.937332
1;2;-75.702212;-0.234048;-3.979719
1;2;36.673488;3.275993;-67.893188
1;2;49.881567;4.289740;60.562986
1;2;-75.757508;-0.055790;18.296401
1;2;14.609980;-0.650409;-75.999108
1;2;61.100190;-0.068541;45.938863
1;2;-67.208291;-1.743073;37.332341
1;2;-10.750382;-0.367593;-79.837777
1;2;75.721311;-1.484871;27.197744
1;2;-53.720743;-1.506536;57.632929
1;2;-26.032154;-0.979875;-70.145253
1;2;76.645041;3.246315;2.046407
1;2;-37.069125;1.197140;64.603118
1;2;-44.974676;5.468718;-57.882518
1;2;74.736393;0.854680;-18.846143
1;2;-15.046666;-0.062986;73.968099
1;2;-62.697389;0.175125;-45.812512
1;2;67.453048;1.159169;-34.463854
1;2;2.413498;0.759826;76.613184
1;2;-74.145657;-1.515294;-26.204323
1;2;56.377445;-2.040446;-53.881649
1;2;26.802538;-2.320977;70.706257
1;2;-75.919250;1.530841;-6.197170
1;2;34.056388;2.823816;-71.402992
1;2;50.227995;0.896835;60.894245
1;2;-75.342733;-1.902196;19.296003
1;2;14.737836;-0.291719;-76.669499
1;2;63.899923;2.227556;47.290565
1;2;-67.791836;0.561709;33.464279
1;2;-4.091138;-3.801990;-75.621608
1;2;69.258924;-0.336064;25.984786
1;2;-55.829472;-0.761509;53.651200
1;2;-26.955675;-2.493902;-74.464976
1;2;77.313837;1.081858;5.788389
1;2;-39.435348;-0.871433;67.756622
1;2;-44.869316;-2.841703;-63.435778
1;2;74.188905;1.625081;-14.390299
1;2;-16.617900;0.127585;75.050123
1;2;-61.000079;1.872396;-44.332221
1;2;68.231556;2.423455;-35.193181
1;2;6.818235;-1.339939;72.893156
1;2;-72.685577;-0.587094;-30.618718
1;2;53.517990;-0.098759;-52.602122
1;2;25.503478;-1.880441;73.929416
1;2;-79.034953;0.485348;-8.190276
1;2;37.738337;1.194202;-65.120994
1;2;43.040224;2.457756;62.510037
1;2;-80.665376;-0.023109;12.694125
1;2;15.347777;0.515193;-74.486215
1;2;63.784477;-2.808210;45.219320
1;2;-68.473070;-4.776210;38.717377
1;2;-4.140637;0.641186;-76.472982
1;2;72.502146;1.076844;29.277790
1;2;-55.072210;1.222745;52.619589
1;2;-23.432793;-0.819679;-72.947681
1;2;78.367712;-3.767295;9.927191
1;2;-38.378323;-0.898702;66.828923
1;2;-43.072988;-1.722581;-59.404971
1;2;77.410175;2.376726;-16.935285
1;2;-20.153838;-1.154412;74.787478
1;2;-61.731356;0.330474;-46.236536
1;2;70.650137;-0.211920;-37.960254
1;2;4.187841;-0.798857;74.827599
1;2;-70.482601;2.871098;-32.197906
1;2;59.900477;-0.848667;-56.628954
1;2;26.023700;0.530352;71.896181
1;2;-77.329252;-0.212251;-8.723278
1;2;41.267175;3.479938;-67.009315
1;2;44.430500;2.817978;63.516169
1;2;-78.327596;-1.545299;9.020069
1;2;19.330503;-0.841412;-74.714039
1;2;66.718641;-1.221657;44.726418
1;2;-67.057715;4.239704;37.900616
1;2;-1.957578;0.546527;-74.067952
1;2;70.159719;-1.541233;27.256116
1;2;-56.607465;2.168019;55.055875
1;2;-23.704182;-1.603487;-71.890283
1;2;79.893180;0.499135;8.690925
1;2;-40.487928;-1.982723;68.888241
1;2;-42.274129;2.200404;-62.402024
1;2;75.774223;-0.741516;-12.997407
1;2;-16.776811;-0.490323;75.390165
1;2;-58.811650;1.553991;-51.573369
1;2;68.371201;-0.172983;-33.117395
1;2;4.149972;-2.769998;73.794368
1;2;-72.011564;0.065274;-34.270484
1;2;53.651034;-1.865018;-51.181503
1;2;23.466764;1.605137;76.020146
1;2;-80.898195;1.473258;-10.723064
1;2;39.535927;-0.318506;-68.170930
1;2;43.953777;3.240001;64.242168
1;2;-74.778690;-5.147924;14.137562
1;2;20.859399;0.199212;-77.413085
1;2;59.444783;0.758144;48.624939
1;2;-70.500178;0.199203;35.796825
1;2;-5.127322;-0.234506;-76.422488
1;2;71.521927;1.232306;30.608439
1;2;-57.885549;0.202762;52.592098
1;2;-21.352776;-3.227862;-73.206236
1;2;73.707746;0.219306;11.405170
1;2;-40.995203;-2.854540;64.546466
1;2;-42.478276;-0.883735;-67.070100
1;2;73.939419;0.607194;-10.638699
1;2;-19.711476;0.237988;77.319992
1;2;-59.898229;-0.699220;-50.498516
1;2;67.602309;-1.495656;-31.398911
1;2;0.046281;1.330835;77.557697
1;2;-69.940950;-1.970890;-31.744371
1;2;58.365191;3.485845;-51.659052
1;2;26.796698;-2.756798;73.778596
1;2;-77.610815;1.670480;-7.896587
1;2;43.785042;-1.077840;-61.606687
1;2;43.195933;-1.843396;62.756047
1;2;-78.394783;-1.584782;11.016053
1;2;21.110989;-0.473941;-72.528866
1;2;61.189914;-1.914492;47.696687
1;2;-73.050436;-2.294604;34.006546
1;2;1.086221;2.590744;-76.925343
1;2;69.657211;-0.261663;27.994838
1;2;-54.706807;3.378995;48.864834
1;2;-23.079783;-0.171853;-71.509945
1;2;78.535917;-0.708758;11.546041
1;2;-40.542500;-1.054475;62.189769
1;2;-40.219910;-0.183437;-63.317813
1;2;79.101145;-3.381649;-16.387398
1;2;-26.583055;0.646529;77.042201
1;2;79.394747;4.084135;-0.762682
1;2;-76.810270;1.261672;11.323863
1;2;59.976768;0.911102;51.219987
