Number;Type;X;Y;Z
1;3;102.331239;422.170830;381.449416
1;3;407.055481;293.513221;178.494321
1;3;219.042475;357.257411;288.609523
1;3;389.608768;414.148528;299.544884
1;3;199.640016;157.745127;100.866814
1;3;398.115573;61.055714;-43.777798
1;3;62.270161;451.328939;419.960233
1;3;63.231211;291.612198;265.408062
1;3;64.875577;223.682447;199.355928
1;3;28.949615;297.723883;280.161635
1;3;129.509609;376.841980;330.641244
1;3;239.670831;224.844295;155.359021
1;3;495.523375;337.011689;197.682713
1;3;28.281226;392.194175;371.602951
1;3;262.015772;179.752876;106.027872
1;3;28.854154;191.345895;177.413333
1;3;168.890676;388.319763;331.564738
1;3;182.394749;169.710395;116.878060
1;3;287.433850;16.157569;-58.584444
1;3;142.958717;187.408678;144.156072
1;3;214.631854;491.205869;419.157100
1;3;231.286770;189.525841;123.401628
1;3;50.885106;449.401854;421.037245
1;3;171.394675;262.532765;209.394188
1;3;360.512254;132.308319;34.766560
1;3;169.546640;443.364187;384.574439
1;3;139.856869;481.545943;429.125985
1;3;450.680239;4.030716;-112.438636
1;3;386.562877;363.901926;251.787316
1;3;392.183849;227.030082;118.103000
1;3;329.239375;107.575090;18.943891
1;3;345.899462;285.222139;186.270237
1;3;496.424701;207.286750;72.121367
1;3;194.820262;407.388404;343.294034
1;3;317.427705;359.463318;265.344786
1;3;97.170032;363.939593;326.523825
1;3;181.496608;309.614001;252.272305
1;3;335.570587;112.359754;21.932151
1;3;268.724849;316.527682;236.435721
1;3;81.131543;222.775098;194.283224
1;3;107.761082;16.545179;-11.831570
1;3;272.263251;310.452194;229.652768
1;3;341.068174;439.013831;336.097166
1;3;236.132548;4.171249;-56.922306
1;3;482.657335;251.691474;118.574988
1;3;320.147594;419.384733;322.533446
1;3;323.636458;341.206232;246.103768
1;3;62.204474;379.173408;350.266938
1;3;394.752978;129.702654;23.410742
1;3;389.821589;12.462570;-88.583267
1;3;278.187527;121.866244;45.928594
1;3;130.307004;384.020617;337.370775
1;3;476.315049;270.596888;138.476833
1;3;235.553053;279.783471;209.499272
1;3;325.475540;216.878550;125.514712
1;3;186.290177;71.522281;21.011930
1;3;12.541505;7.095658;3.617892
1;3;27.753423;20.222413;12.373187
1;3;237.430907;89.277506;24.964642
1;3;3.206556;141.586653;135.960722
1;3;142.454989;163.131840;120.831978
1;3;413.608722;491.763100;368.334137
1;3;256.090488;68.567149;0.139596
1;3;224.148604;70.301854;10.060578
1;3;162.578526;352.512462;298.600247
1;3;363.437759;201.372919;100.735476
1;3;175.527245;200.961067;148.842366
1;3;397.963809;29.457261;-74.266236
1;3;197.122451;333.171589;270.998096
1;3;144.711692;170.511312;127.378851
1;3;144.576664;472.689565;419.351434
1;3;110.991810;430.749155;387.501503
1;3;162.047758;49.632066;6.121176
1;3;159.620559;82.907463;38.895428
1;3;225.564653;426.720473;354.035000
1;3;256.029131;199.901143;127.038648
1;3;347.736727;430.043052;325.709064
1;3;10.180109;14.358162;11.243816
1;3;136.731423;123.037887;83.574177
1;3;154.567649;185.546120;139.360055
1;3;324.242480;46.791966;-38.489519
1;3;149.602674;412.876399;360.267928
1;3;90.275514;360.233292;324.722789
1;3;169.637183;488.087182;427.758443
1;3;117.688633;397.881827;354.019385
1;3;36.827251;280.658398;261.641052
1;3;459.622115;15.236908;-103.920352
1;3;496.285120;436.579350;293.679497
1;3;7.650595;387.201182;372.104489
1;3;122.689436;176.081561;138.444869
1;3;428.477342;298.025707;177.324322
1;3;191.253102;150.717555;96.242288
1;3;23.787026;174.838038;162.772874
1;3;133.149989;267.711700;224.269601
1;3;243.887508;184.037511;114.846701
1;3;39.657234;93.497054;80.091926
1;3;340.608620;455.817964;352.450447
1;3;109.395214;165.373277;131.531077
1;3;408.139684;281.862571;166.958637
1;3;75.608600;160.788500;135.822911
1;3;342.872654;311.243288;212.190856
1;3;396.866759;49.977649;-54.158085
1;3;33.791109;326.129456;306.354850
1;3;288.925475;356.384590;269.727590
1;3;266.670397;357.141036;276.203037
1;3;389.354205;392.115690;278.324427
1;3;55.616124;397.661513;369.829130
1;3;33.098475;437.005393;413.652099
1;3;323.475590;223.214828;132.152501
1;3;473.717844;423.585880;286.951587
1;3;257.491823;453.172931;371.349744
1;3;283.543161;245.998407;164.471607
1;3;435.847892;120.388741;3.804759
1;3;208.294568;132.917265;74.646369
1;3;168.748160;438.806142;380.376971
1;3;171.182956;331.797166;276.365937
1;3;294.126947;105.461044;25.964955
1;3;11.856863;494.113850;474.308240
1;3;354.857343;418.018125;312.253627
1;3;260.585416;77.219390;7.338359
1;3;373.966895;179.428434;76.816813
1;3;188.014394;343.075625;282.917531
1;3;409.343146;333.907000;216.928686
1;3;333.422778;369.481450;270.894652
1;3;364.350185;44.921818;-50.649173
1;3;201.856415;360.851898;296.518383
1;3;176.400594;2.628771;-42.994078
1;3;252.391972;0.328728;-64.831604
1;3;223.914152;140.144804;77.597138
1;3;205.857274;65.226935;9.879129
1;3;190.668234;207.687423;151.432474
1;3;398.797152;199.597914;89.893408
1;3;374.809124;250.176601;144.949993
1;3;111.158403;498.738066;453.143334
1;3;297.404940;301.387164;214.405193
1;3;295.180280;135.664492;54.872944
1;3;290.867227;206.172944;124.105250
1;3;176.077994;143.525568;93.211136
1;3;279.640000;115.726691;39.622182
1;3;18.555070;150.403381;140.516793
1;3;10.958122;93.759001;87.753013
1;3;5.303520;32.527227;30.055930
1;3;68.929402;296.668453;268.822109
1;3;430.717643;499.597043;371.486321
1;3;298.015459;133.633541;52.178984
1;3;465.829769;269.317037;139.946888
1;3;454.200005;107.127237;-13.744502
1;3;442.122020;434.509087;305.660354
1;3;230.055281;359.455599;287.890514
1;3;493.897031;168.153981;34.967229
1;3;69.284718;76.110133;55.646576
1;3;458.367227;443.941622;310.579902
1;3;474.636322;452.540441;314.687822
1;3;405.747307;120.239479;11.430330
1;3;431.081108;233.713764;114.519744
1;3;50.084289;171.496869;152.756900
1;3;89.367933;252.482579;220.857912
1;3;166.528972;44.182995;-0.299954
1;3;190.035742;152.795435;98.563984
1;3;108.071309;58.181373;28.313537
1;3;72.766748;233.240724;206.553360
1;3;199.119758;60.527801;7.078380
1;3;472.644883;146.123322;19.168922
1;3;455.423272;99.432979;-21.493768
1;3;257.144945;217.188425;143.452060
1;3;367.826088;186.591794;85.322523
1;3;343.193788;161.641319;67.575858
1;3;395.804192;300.089633;187.752126
1;3;21.668271;407.830728;388.416579
1;3;272.452148;241.227771;162.725532
1;3;155.309144;77.634913;34.914452
1;3;366.661223;106.735052;8.472730
1;3;274.976189;351.043248;268.167948
1;3;404.165205;458.218121;338.363591
1;3;460.191520;39.666528;-80.465606
1;3;395.748093;186.250880;77.785737
1;3;319.840477;14.176848;-68.863067
1;3;295.686190;23.388662;-53.728557
1;3;103.446505;407.947854;367.420562
1;3;83.995386;421.839642;385.862431
1;3;248.572866;444.155712;364.940334
1;3;259.354651;212.177646;138.040706
1;3;372.904691;393.373124;283.785312
1;3;366.295340;279.309696;175.293433
1;3;37.065392;198.747499;182.444562
1;3;309.994270;236.549984;148.515634
1;3;398.239950;275.020717;162.904036
1;3;329.182658;65.824448;-21.377222
1;3;177.191431;52.823022;5.295002
1;3;243.925115;167.171860;98.542903
1;3;352.166087;233.897245;135.067108
1;3;258.974641;25.422308;-42.287586
1;3;63.459777;415.928547;385.452453
1;3;240.682066;325.936281;252.764072
1;3;355.231825;92.917359;-1.926458
1;3;198.726533;223.288762;164.425034
1;3;437.033103;417.770827;290.802924
1;3;232.093485;123.708621;59.606653
1;3;390.886717;56.297238;-46.509051
1;3;389.013126;269.514201;159.965823
1;3;149.138311;105.821321;63.738510
1;3;345.542977;427.139906;323.470569
1;3;176.285811;226.591541;173.408442
1;3;155.789724;5.717307;-34.689987
1;3;57.591197;152.347539;132.318785
1;3;201.380398;347.926725;284.154104
1;3;177.859573;44.490334;-2.927765
1;3;346.601205;412.792201;309.335936
1;3;213.061034;224.588412;161.980518
1;3;288.212522;477.794072;387.206656
1;3;79.134239;160.848908;134.971210
1;3;346.100854;189.771901;94.002729
1;3;476.022219;490.883949;351.374169
1;3;329.169205;190.664904;99.235986
1;3;293.861238;369.600596;281.221664
1;3;211.173099;177.011150;116.502930
1;3;162.938143;383.305096;328.256523
1;3;20.947473;162.529008;151.613950
1;3;328.143166;301.178111;206.268857
1;3;31.635790;286.167409;268.303424
1;3;107.502187;4.163166;-23.727141
1;3;144.592254;446.497219;394.042697
1;3;24.337893;429.300975;408.470119
1;3;436.465430;331.776603;207.869491
1;3;288.249206;270.094992;186.536825
1;3;237.011830;424.686023;349.114669
1;3;336.118197;198.660794;105.167180
1;3;189.169299;278.539048;220.269922
1;3;170.294521;164.257841;114.733683
1;3;268.990514;71.509767;-0.347354
1;3;155.547553;121.937625;77.654250
1;3;243.026967;226.803429;156.385452
