Number;Type;X;Y;Z
1;1;43.317306;-75.714350;91.463868
1;1;-7.620029;-75.714350;84.087883
1;1;-29.142036;-75.714350;130.840642
1;1;9.585340;-75.714350;164.740607
1;1;53.078331;-75.714350;137.220124
1;1;39.025589;-75.714350;87.707119
1;1;-12.439865;-75.714350;87.137667
1;1;-27.584729;-75.714350;136.327608
1;1;15.288674;-75.714350;164.803712
1;1;54.756665;-75.714350;131.768959
1;1;34.274414;-75.714350;84.551434
1;1;-16.813656;-75.714350;90.798535
1;1;-25.314913;-75.714350;141.560193
1;1;20.950187;-75.714350;164.111417
1;1;55.698763;-75.714350;126.143619
1;1;29.147377;-75.714350;82.052337
1;1;-20.664448;-75.714350;95.006077
1;1;-22.372524;-75.714350;146.446330
1;1;26.470268;-75.714350;162.675900
1;1;55.888050;-75.714350;120.443077
1;1;23.734683;-75.714350;80.253797
1;1;-23.924488;-75.714350;99.686263
1;1;-18.809330;-75.714350;150.900054
1;1;31.751795;-75.714350;160.522420
1;1;55.321195;-75.714350;114.767632
1;1;18.131565;-75.714350;79.187459
1;1;-26.536418;-75.714350;104.756748
1;1;-14.688024;-75.714350;154.843002
1;1;36.701842;-75.714350;157.688865
1;1;54.008171;-75.714350;109.217139
1;1;12.436608;-75.714350;78.872084
1;1;-28.454282;-75.714350;110.128321
1;1;-10.081118;-75.714350;158.205801
1;1;41.233317;-75.714350;154.225090
1;1;51.972081;-75.714350;103.889256
1;1;6.750009;-75.714350;79.313222
1;1;-29.644338;-75.714350;115.706472
1;1;-5.069667;-75.714350;160.929285
1;1;45.266491;-75.714350;150.192038
1;1;49.248748;-75.714350;98.877723
1;1;1.171823;-75.714350;80.503109
1;1;-30.085647;-75.714350;121.393057
1;1;0.258155;-75.714350;162.965535
1;1;48.730402;-75.714350;145.660667
1;1;45.886088;-75.714350;94.270716
1;1;-4.199808;-75.714350;82.420812
1;1;-29.770444;-75.714350;127.088024
1;1;5.808608;-75.714350;164.278726
1;1;51.564107;-75.714350;140.710706
1;1;41.943264;-75.714350;90.149291
1;1;-9.270373;-75.714350;85.032589
1;1;-28.704275;-75.714350;132.691174
1;1;11.484036;-75.714350;164.845752
1;1;53.717746;-75.714350;135.429244
1;1;37.489648;-75.714350;86.585963
1;1;-13.950657;-75.714350;88.292488
1;1;-26.905898;-75.714350;138.103922
1;1;17.184583;-75.714350;164.656638
1;1;55.153429;-75.714350;129.909206
1;1;32.603599;-75.714350;83.643426
1;1;-18.158314;-75.714350;92.143153
1;1;-24.406956;-75.714350;143.231035
1;1;22.809952;-75.714350;163.714709
1;1;55.845895;-75.714350;124.247714
1;1;27.371084;-75.714350;81.373452
1;1;-21.819314;-75.714350;96.516833
1;1;-21.251414;-75.714350;147.982304
1;1;28.261167;-75.714350;162.036539
1;1;55.782961;-75.714350;118.544378
1;1;21.884164;-75.714350;79.815980
1;1;-24.869243;-75.714350;101.336577
1;1;-17.494794;-75.714350;152.274135
1;1;33.442318;-75.714350;159.651655
1;1;43.317306;-72.255421;91.463868
1;1;-7.620029;-72.255421;84.087883
1;1;-29.142036;-72.255421;130.840642
1;1;9.585340;-72.255421;164.740607
1;1;53.078331;-72.255421;137.220124
1;1;39.025589;-72.255421;87.707119
1;1;-12.439865;-72.255421;87.137667
1;1;-27.584729;-72.255421;136.327608
1;1;15.288674;-72.255421;164.803712
1;1;54.756665;-72.255421;131.768959
1;1;34.274414;-72.255421;84.551434
1;1;-16.813656;-72.255421;90.798535
1;1;-25.314913;-72.255421;141.560193
1;1;20.950187;-72.255421;164.111417
1;1;55.698763;-72.255421;126.143619
1;1;29.147377;-72.255421;82.052337
1;1;-20.664448;-72.255421;95.006077
1;1;-22.372524;-72.255421;146.446330
1;1;26.470268;-72.255421;162.675900
1;1;55.888050;-72.255421;120.443077
1;1;23.734683;-72.255421;80.253797
1;1;-23.924488;-72.255421;99.686263
1;1;-18.809330;-72.255421;150.900054
1;1;31.751795;-72.255421;160.522420
1;1;55.321195;-72.255421;114.767632
1;1;18.131565;-72.255421;79.187459
1;1;-26.536418;-72.255421;104.756748
1;1;-14.688024;-72.255421;154.843002
1;1;36.701842;-72.255421;157.688865
1;1;54.008171;-72.255421;109.217139
1;1;12.436608;-72.255421;78.872084
1;1;-28.454282;-72.255421;110.128321
1;1;-10.081118;-72.255421;158.205801
1;1;41.233317;-72.255421;154.225090
1;1;51.972081;-72.255421;103.889256
1;1;6.750009;-72.255421;79.313222
1;1;-29.644338;-72.255421;115.706472
1;1;-5.069667;-72.255421;160.929285
1;1;45.266491;-72.255421;150.192038
1;1;49.248748;-72.255421;98.877723
1;1;1.171823;-72.255421;80.503109
1;1;-30.085647;-72.255421;121.393057
1;1;0.258155;-72.255421;162.965535
1;1;48.730402;-72.255421;145.660667
1;1;45.886088;-72.255421;94.270716
1;1;-4.199808;-72.255421;82.420812
1;1;-29.770444;-72.255421;127.088024
1;1;5.808608;-72.255421;164.278726
1;1;51.564107;-72.255421;140.710706
1;1;41.943264;-72.255421;90.149291
1;1;-9.270373;-72.255421;85.032589
1;1;-28.704275;-72.255421;132.691174
1;1;11.484036;-72.255421;164.845752
1;1;53.717746;-72.255421;135.429244
1;1;37.489648;-72.255421;86.585963
1;1;-13.950657;-72.255421;88.292488
1;1;-26.905898;-72.255421;138.103922
1;1;17.184583;-72.255421;164.656638
1;1;55.153429;-72.255421;129.909206
1;1;32.603599;-72.255421;83.643426
1;1;-18.158314;-72.255421;92.143153
1;1;-24.406956;-72.255421;143.231035
1;1;22.809952;-72.255421;163.714709
1;1;55.845895;-72.255421;124.247714
1;1;27.371084;-72.255421;81.373452
1;1;-21.819314;-72.255421;96.516833
1;1;-21.251414;-72.255421;147.982304
1;1;28.261167;-72.255421;162.036539
1;1;55.782961;-72.255421;118.544378
1;1;21.884164;-72.255421;79.815980
1;1;-24.869243;-72.255421;101.336577
1;1;-17.494794;-72.255421;152.274135
1;1;33.442318;-72.255421;159.651655
1;1;43.317306;-70.169323;91.463868
1;1;-7.620029;-70.169323;84.087883
1;1;-29.142036;-70.169323;130.840642
1;1;9.585340;-70.169323;164.740607
1;1;53.078331;-70.169323;137.220124
1;1;39.025589;-70.169323;87.707119
1;1;-12.439865;-70.169323;87.137667
1;1;-27.584729;-70.169323;136.327608
1;1;15.288674;-70.169323;164.803712
1;1;54.756665;-70.169323;131.768959
1;1;34.274414;-70.169323;84.551434
1;1;-16.813656;-70.169323;90.798535
1;1;-25.314913;-70.169323;141.560193
1;1;20.950187;-70.169323;164.111417
1;1;55.698763;-70.169323;126.143619
1;1;29.147377;-70.169323;82.052337
1;1;-20.664448;-70.169323;95.006077
1;1;-22.372524;-70.169323;146.446330
1;1;26.470268;-70.169323;162.675900
1;1;55.888050;-70.169323;120.443077
1;1;23.734683;-70.169323;80.253797
1;1;-23.924488;-70.169323;99.686263
1;1;-18.809330;-70.169323;150.900054
1;1;31.751795;-70.169323;160.522420
1;1;55.321195;-70.169323;114.767632
1;1;18.131565;-70.169323;79.187459
1;1;-26.536418;-70.169323;104.756748
1;1;-14.688024;-70.169323;154.843002
1;1;36.701842;-70.169323;157.688865
1;1;54.008171;-70.169323;109.217139
1;1;12.436608;-70.169323;78.872084
1;1;-28.454282;-70.169323;110.128321
1;1;-10.081118;-70.169323;158.205801
1;1;41.233317;-70.169323;154.225090
1;1;51.972081;-70.169323;103.889256
1;1;6.750009;-70.169323;79.313222
1;1;-29.644338;-70.169323;115.706472
1;1;-5.069667;-70.169323;160.929285
1;1;45.266491;-70.169323;150.192038
1;1;49.248748;-70.169323;98.877723
1;1;1.171823;-70.169323;80.503109
1;1;-30.085647;-70.169323;121.393057
1;1;0.258155;-70.169323;162.965535
1;1;48.730402;-70.169323;145.660667
1;1;45.886088;-70.169323;94.270716
1;1;-4.199808;-70.169323;82.420812
1;1;-29.770444;-70.169323;127.088024
