Number;Type;X;Y;Z
1;1;104.518899;1.725870;0.000000
1;1;95.206507;1.725870;-12.466016
1;1;80.610969;1.725870;-7.072274
1;1;81.642956;1.725870;8.453742
1;1;96.823965;1.725870;11.868288
1;1;104.404535;1.725870;-1.720573
1;1;93.524167;1.725870;-12.844411
1;1;79.770900;1.725870;-5.566375
1;1;82.848704;1.725870;9.686471
1;1;98.348084;1.725870;11.061746
1;1;104.063457;1.725870;-3.410873
1;1;91.806546;1.725870;-12.996817
1;1;79.137530;1.725870;-3.962538
1;1;84.206999;1.725870;10.748773
1;1;99.752048;1.725870;10.060579
1;1;103.501665;1.725870;-5.041161
1;1;90.083864;1.725870;-12.920553
1;1;78.722002;1.725870;-2.288983
1;1;85.693942;1.725870;11.621957
1;1;101.011155;1.725870;8.882402
1;1;102.729044;1.725870;-6.582753
1;1;88.386431;1.725870;-12.616959
1;1;78.531628;1.725870;-0.575155
1;1;87.283371;1.725870;12.290659
1;1;102.103251;1.725870;7.547945
1;1;101.759187;1.725870;-8.008526
1;1;86.744111;1.725870;-12.091377
1;1;78.569757;1.725870;1.148793
1;1;88.947322;1.725870;12.743116
1;1;103.009123;1.725870;6.080687
1;1;100.609159;1.725870;-9.293394
1;1;85.185801;1.725870;-11.353056
1;1;78.835718;1.725870;2.852528
1;1;90.656518;1.725870;12.971365
1;1;103.712830;1.725870;4.506443
1;1;99.299193;1.725870;-10.414750
1;1;83.738918;1.725870;-10.414984
1;1;79.324831;1.725870;4.506075
1;1;92.380888;1.725870;12.971391
1;1;104.201994;1.725870;2.852911
1;1;97.852338;1.725870;-11.352865
1;1;82.428918;1.725870;-9.293668
1;1;80.028491;1.725870;6.080341
1;1;94.090091;1.725870;12.743193
1;1;104.468006;1.725870;1.149183
1;1;96.294050;1.725870;-12.091233
1;1;81.278851;1.725870;-8.008835
1;1;80.934319;1.725870;7.547626
1;1;95.754056;1.725870;12.290787
1;1;104.506187;1.725870;-0.574763
1;1;94.651747;1.725870;-12.616864
1;1;80.308952;1.725870;-6.583091
1;1;82.026375;1.725870;8.882116
1;1;97.343505;1.725870;11.622132
1;1;104.315864;1.725870;-2.288597
1;1;92.954322;1.725870;-12.920509
1;1;79.536284;1.725870;-5.041522
1;1;83.285446;1.725870;10.060331
1;1;98.830475;1.725870;10.748993
1;1;103.900387;1.725870;-3.962165
1;1;91.231643;1.725870;-12.996826
1;1;78.974443;1.725870;-3.411251
1;1;84.689379;1.725870;11.061540
1;1;100.188801;1.725870;9.686732
1;1;103.267065;1.725870;-5.566021
1;1;89.514017;1.725870;-12.844472
1;1;78.633314;1.725870;-1.720961
1;1;86.213474;1.725870;11.868128
1;1;101.394587;1.725870;8.454040
1;1;102.427042;1.725870;-7.071946
1;1;87.831666;1.725870;-12.466127
1;1;78.518899;1.725870;-0.000392
1;1;87.830914;1.725870;12.465904
1;1;104.518899;4.883399;0.000000
1;1;95.206507;4.883399;-12.466016
1;1;80.610969;4.883399;-7.072274
1;1;81.642956;4.883399;8.453742
1;1;96.823965;4.883399;11.868288
1;1;104.404535;4.883399;-1.720573
1;1;93.524167;4.883399;-12.844411
1;1;79.770900;4.883399;-5.566375
1;1;82.848704;4.883399;9.686471
1;1;98.348084;4.883399;11.061746
1;1;104.063457;4.883399;-3.410873
1;1;91.806546;4.883399;-12.996817
1;1;79.137530;4.883399;-3.962538
1;1;84.206999;4.883399;10.748773
1;1;99.752048;4.883399;10.060579
1;1;103.501665;4.883399;-5.041161
1;1;90.083864;4.883399;-12.920553
1;1;78.722002;4.883399;-2.288983
1;1;85.693942;4.883399;11.621957
1;1;101.011155;4.883399;8.882402
1;1;102.729044;4.883399;-6.582753
1;1;88.386431;4.883399;-12.616959
1;1;78.531628;4.883399;-0.575155
1;1;87.283371;4.883399;12.290659
1;1;102.103251;4.883399;7.547945
1;1;101.759187;4.883399;-8.008526
1;1;86.744111;4.883399;-12.091377
1;1;78.569757;4.883399;1.148793
1;1;88.947322;4.883399;12.743116
1;1;103.009123;4.883399;6.080687
1;1;100.609159;4.883399;-9.293394
1;1;85.185801;4.883399;-11.353056
1;1;78.835718;4.883399;2.852528
1;1;90.656518;4.883399;12.971365
1;1;103.712830;4.883399;4.506443
1;1;99.299193;4.883399;-10.414750
1;1;83.738918;4.883399;-10.414984
1;1;79.324831;4.883399;4.506075
1;1;92.380888;4.883399;12.971391
1;1;104.201994;4.883399;2.852911
1;1;97.852338;4.883399;-11.352865
1;1;82.428918;4.883399;-9.293668
1;1;80.028491;4.883399;6.080341
1;1;94.090091;4.883399;12.743193
1;1;104.468006;4.883399;1.149183
1;1;96.294050;4.883399;-12.091233
1;1;81.278851;4.883399;-8.008835
1;1;80.934319;4.883399;7.547626
1;1;95.754056;4.883399;12.290787
1;1;104.506187;4.883399;-0.574763
1;1;94.651747;4.883399;-12.616864
1;1;80.308952;4.883399;-6.583091
1;1;82.026375;4.883399;8.882116
1;1;97.343505;4.883399;11.622132
1;1;104.315864;4.883399;-2.288597
1;1;92.954322;4.883399;-12.920509
1;1;79.536284;4.883399;-5.041522
1;1;83.285446;4.883399;10.060331
1;1;98.830475;4.883399;10.748993
1;1;103.900387;4.883399;-3.962165
1;1;91.231643;4.883399;-12.996826
1;1;78.974443;4.883399;-3.411251
1;1;84.689379;4.883399;11.061540
1;1;100.188801;4.883399;9.686732
1;1;103.267065;4.883399;-5.566021
1;1;89.514017;4.883399;-12.844472
1;1;78.633314;4.883399;-1.720961
1;1;86.213474;4.883399;11.868128
1;1;101.394587;4.883399;8.454040
1;1;102.427042;4.883399;-7.071946
1;1;87.831666;4.883399;-12.466127
1;1;78.518899;4.883399;-0.000392
1;1;87.830914;4.883399;12.465904
1;1;104.518899;7.000265;0.000000
1;1;95.206507;7.000265;-12.466016
1;1;80.610969;7.000265;-7.072274
1;1;81.642956;7.000265;8.453742
1;1;96.823965;7.000265;11.868288
1;1;104.404535;7.000265;-1.720573
1;1;93.524167;7.000265;-12.844411
1;1;79.770900;7.000265;-5.566375
1;1;82.848704;7.000265;9.686471
1;1;98.348084;7.000265;11.061746
1;1;104.063457;7.000265;-3.410873
1;1;91.806546;7.000265;-12.996817
1;1;79.137530;7.000265;-3.962538
1;1;84.206999;7.000265;10.748773
1;1;99.752048;7.000265;10.060579
1;1;103.501665;7.000265;-5.041161
1;1;90.083864;7.000265;-12.920553
1;1;78.722002;7.000265;-2.288983
1;1;85.693942;7.000265;11.621957
1;1;101.011155;7.000265;8.882402
1;1;102.729044;7.000265;-6.582753
1;1;88.386431;7.000265;-12.616959
1;1;78.531628;7.000265;-0.575155
1;1;87.283371;7.000265;12.290659
1;1;102.103251;7.000265;7.547945
1;1;101.759187;7.000265;-8.008526
1;1;86.744111;7.000265;-12.091377
1;1;78.569757;7.000265;1.148793
1;1;88.947322;7.000265;12.743116
1;1;103.009123;7.000265;6.080687
1;1;100.609159;7.000265;-9.293394
1;1;85.185801;7.000265;-11.353056
1;1;78.835718;7.000265;2.852528
1;1;90.656518;7.000265;12.971365
1;1;103.712830;7.000265;4.506443
1;1;99.299193;7.000265;-10.414750
1;1;83.738918;7.000265;-10.414984
1;1;79.324831;7.000265;4.506075
1;1;92.380888;7.000265;12.971391
1;1;104.201994;7.000265;2.852911
1;1;97.852338;7.000265;-11.352865
1;1;82.428918;7.000265;-9.293668
1;1;80.028491;7.000265;6.080341
1;1;94.090091;7.000265;12.743193
1;1;104.468006;7.000265;1.149183
1;1;96.294050;7.000265;-12.091233
1;1;81.278851;7.000265;-8.008835
1;1;80.934319;7.000265;7.547626
1;1;95.754056;7.000265;12.290787
1;1;104.506187;7.000265;-0.574763
1;1;94.651747;7.000265;-12.616864
1;1;80.308952;7.000265;-6.583091
1;1;82.026375;7.000265;8.882116
1;1;97.343505;7.000265;11.622132
1;1;104.315864;7.000265;-2.288597
1;1;92.954322;7.000265;-12.920509
1;1;79.536284;7.000265;-5.041522
1;1;83.285446;7.000265;10.060331
1;1;98.830475;7.000265;10.748993
1;1;103.900387;7.000265;-3.962165
1;1;91.231643;7.000265;-12.996826
1;1;78.974443;7.000265;-3.411251
1;1;84.689379;7.000265;11.061540
1;1;100.188801;7.000265;9.686732
1;1;103.267065;7.000265;-5.566021
1;1;89.514017;7.000265;-12.844472
1;1;78.633314;7.000265;-1.720961
1;1;86.213474;7.000265;11.868128
1;1;101.394587;7.000265;8.454040
1;1;102.427042;7.000265;-7.071946
1;1;87.831666;7.000265;-12.466127
1;1;78.518899;7.000265;-0.000392
1;1;87.830914;7.000265;12.465904
1;1;104.518899;10.751255;0.000000
1;1;95.206507;10.751255;-12.466016
1;1;80.610969;10.751255;-7.072274
1;1;81.642956;10.751255;8.453742
1;1;96.823965;10.751255;11.868288
1;1;104.404535;10.751255;-1.720573
1;1;93.524167;10.751255;-12.844411
1;1;79.770900;10.751255;-5.566375
1;1;82.848704;10.751255;9.686471
1;1;98.348084;10.751255;11.061746
1;1;104.063457;10.751255;-3.410873
1;1;91.806546;10.751255;-12.996817
1;1;79.137530;10.751255;-3.962538
1;1;84.206999;10.751255;10.748773
1;1;99.752048;10.751255;10.060579
1;1;103.501665;10.751255;-5.041161
1;1;90.083864;10.751255;-12.920553
1;1;78.722002;10.751255;-2.288983
1;1;85.693942;10.751255;11.621957
1;1;101.011155;10.751255;8.882402
1;1;102.729044;10.751255;-6.582753
1;1;88.386431;10.751255;-12.616959
1;1;78.531628;10.751255;-0.575155
1;1;87.283371;10.751255;12.290659
1;1;102.103251;10.751255;7.547945
1;1;101.759187;10.751255;-8.008526
1;1;86.744111;10.751255;-12.091377
1;1;78.569757;10.751255;1.148793
1;1;88.947322;10.751255;12.743116
1;1;103.009123;10.751255;6.080687
1;1;100.609159;10.751255;-9.293394
1;1;85.185801;10.751255;-11.353056
1;1;78.835718;10.751255;2.852528
1;1;90.656518;10.751255;12.971365
1;1;103.712830;10.751255;4.506443
1;1;99.299193;10.751255;-10.414750
1;1;83.738918;10.751255;-10.414984
1;1;79.324831;10.751255;4.506075
1;1;92.380888;10.751255;12.971391
1;1;104.201994;10.751255;2.852911
1;1;97.852338;10.751255;-11.352865
1;1;82.428918;10.751255;-9.293668
1;1;80.028491;10.751255;6.080341
1;1;94.090091;10.751255;12.743193
1;1;104.468006;10.751255;1.149183
1;1;96.294050;10.751255;-12.091233
1;1;81.278851;10.751255;-8.008835
1;1;80.934319;10.751255;7.547626
1;1;95.754056;10.751255;12.290787
1;1;104.506187;10.751255;-0.574763
1;1;94.651747;10.751255;-12.616864
1;1;80.308952;10.751255;-6.583091
1;1;82.026375;10.751255;8.882116
1;1;97.343505;10.751255;11.622132
1;1;104.315864;10.751255;-2.288597
1;1;92.954322;10.751255;-12.920509
1;1;79.536284;10.751255;-5.041522
1;1;83.285446;10.751255;10.060331
1;1;98.830475;10.751255;10.748993
1;1;103.900387;10.751255;-3.962165
1;1;91.231643;10.751255;-12.996826
1;1;78.974443;10.751255;-3.411251
1;1;84.689379;10.751255;11.061540
1;1;100.188801;10.751255;9.686732
1;1;103.267065;10.751255;-5.566021
1;1;89.514017;10.751255;-12.844472
1;1;78.633314;10.751255;-1.720961
1;1;86.213474;10.751255;11.868128
1;1;101.394587;10.751255;8.454040
1;1;102.427042;10.751255;-7.071946
1;1;87.831666;10.751255;-12.466127
1;1;78.518899;10.751255;-0.000392
1;1;87.830914;10.751255;12.465904
1;1;104.518899;13.244873;0.000000
1;1;95.206507;13.244873;-12.466016
1;1;80.610969;13.244873;-7.072274
1;1;81.642956;13.244873;8.453742
1;1;96.823965;13.244873;11.868288
1;1;104.404535;13.244873;-1.720573
1;1;93.524167;13.244873;-12.844411
1;1;79.770900;13.244873;-5.566375
1;1;82.848704;13.244873;9.686471
1;1;98.348084;13.244873;11.061746
1;1;104.063457;13.244873;-3.410873
1;1;91.806546;13.244873;-12.996817
1;1;79.137530;13.244873;-3.962538
1;1;84.206999;13.244873;10.748773
1;1;99.752048;13.244873;10.060579
1;1;103.501665;13.244873;-5.041161
1;1;90.083864;13.244873;-12.920553
1;1;78.722002;13.244873;-2.288983
1;1;85.693942;13.244873;11.621957
1;1;101.011155;13.244873;8.882402
1;1;102.729044;13.244873;-6.582753
1;1;88.386431;13.244873;-12.616959
1;1;78.531628;13.244873;-0.575155
1;1;87.283371;13.244873;12.290659
1;1;102.103251;13.244873;7.547945
1;1;101.759187;13.244873;-8.008526
1;1;86.744111;13.244873;-12.091377
1;1;78.569757;13.244873;1.148793
1;1;88.947322;13.244873;12.743116
1;1;103.009123;13.244873;6.080687
1;1;100.609159;13.244873;-9.293394
1;1;85.185801;13.244873;-11.353056
1;1;78.835718;13.244873;2.852528
1;1;90.656518;13.244873;12.971365
1;1;103.712830;13.244873;4.506443
1;1;99.299193;13.244873;-10.414750
1;1;83.738918;13.244873;-10.414984
1;1;79.324831;13.244873;4.506075
1;1;92.380888;13.244873;12.971391
1;1;104.201994;13.244873;2.852911
1;1;97.852338;13.244873;-11.352865
1;1;82.428918;13.244873;-9.293668
1;1;80.028491;13.244873;6.080341
1;1;94.090091;13.244873;12.743193
1;1;104.468006;13.244873;1.149183
1;1;96.294050;13.244873;-12.091233
1;1;81.278851;13.244873;-8.008835
1;1;80.934319;13.244873;7.547626
1;1;95.754056;13.244873;12.290787
1;1;104.506187;13.244873;-0.574763
1;1;94.651747;13.244873;-12.616864
1;1;80.308952;13.244873;-6.583091
1;1;82.026375;13.244873;8.882116
1;1;97.343505;13.244873;11.622132
1;1;104.315864;13.244873;-2.288597
1;1;92.954322;13.244873;-12.920509
1;1;79.536284;13.244873;-5.041522
1;1;83.285446;13.244873;10.060331
1;1;98.830475;13.244873;10.748993
1;1;103.900387;13.244873;-3.962165
1;1;91.231643;13.244873;-12.996826
1;1;78.974443;13.244873;-3.411251
1;1;84.689379;13.244873;11.061540
1;1;100.188801;13.244873;9.686732
1;1;103.267065;13.244873;-5.566021
1;1;89.514017;13.244873;-12.844472
1;1;78.633314;13.244873;-1.720961
1;1;86.213474;13.244873;11.868128
1;1;101.394587;13.244873;8.454040
1;1;102.427042;13.244873;-7.071946
1;1;87.831666;13.244873;-12.466127
1;1;78.518899;13.244873;-0.000392
1;1;87.830914;13.244873;12.465904
1;1;104.518899;17.067831;0.000000
1;1;95.206507;17.067831;-12.466016
1;1;80.610969;17.067831;-7.072274
1;1;81.642956;17.067831;8.453742
1;1;96.823965;17.067831;11.868288
1;1;104.404535;17.067831;-1.720573
1;1;93.524167;17.067831;-12.844411
1;1;79.770900;17.067831;-5.566375
1;1;82.848704;17.067831;9.686471
1;1;98.348084;17.067831;11.061746
1;1;104.063457;17.067831;-3.410873
1;1;91.806546;17.067831;-12.996817
1;1;79.137530;17.067831;-3.962538
1;1;84.206999;17.067831;10.748773
1;1;99.752048;17.067831;10.060579
1;1;103.501665;17.067831;-5.041161
1;1;90.083864;17.067831;-12.920553
1;1;78.722002;17.067831;-2.288983
1;1;85.693942;17.067831;11.621957
1;1;101.011155;17.067831;8.882402
1;1;102.729044;17.067831;-6.582753
1;1;88.386431;17.067831;-12.616959
1;1;78.531628;17.067831;-0.575155
1;1;87.283371;17.067831;12.290659
1;1;102.103251;17.067831;7.547945
1;1;101.759187;17.067831;-8.008526
1;1;86.744111;17.067831;-12.091377
1;1;78.569757;17.067831;1.148793
1;1;88.947322;17.067831;12.743116
1;1;103.009123;17.067831;6.080687
1;1;100.609159;17.067831;-9.293394
1;1;85.185801;17.067831;-11.353056
1;1;78.835718;17.067831;2.852528
1;1;90.656518;17.067831;12.971365
1;1;103.712830;17.067831;4.506443
1;1;99.299193;17.067831;-10.414750
1;1;83.738918;17.067831;-10.414984
1;1;79.324831;17.067831;4.506075
1;1;92.380888;17.067831;12.971391
1;1;104.201994;17.067831;2.852911
1;1;97.852338;17.067831;-11.352865
1;1;82.428918;17.067831;-9.293668
1;1;80.028491;17.067831;6.080341
1;1;94.090091;17.067831;12.743193
1;1;104.468006;17.067831;1.149183
1;1;96.294050;17.067831;-12.091233
1;1;81.278851;17.067831;-8.008835
1;1;80.934319;17.067831;7.547626
1;1;95.754056;17.067831;12.290787
