Number;Type;X;Y;Z
1;1;78.925752;0.642643;0.000000
1;1;25.916754;0.642643;-70.960396
1;1;-57.165541;0.642643;-40.257562
1;1;-51.291154;0.642643;48.121300
1;1;35.123825;0.642643;67.557949
1;1;78.274760;0.642643;-9.794030
1;1;16.340359;0.642643;-73.114340
1;1;-61.947471;0.642643;-31.685518
1;1;-44.427665;0.642643;55.138374
1;1;43.799579;0.642643;62.966861
1;1;76.333238;0.642643;-19.415739
1;1;6.563132;0.642643;-73.981883
1;1;-65.552809;0.642643;-22.555986
1;1;-36.695833;0.642643;61.185322
1;1;51.791373;0.642643;57.267910
1;1;73.135346;0.642643;-28.695841
1;1;-3.242904;0.642643;-73.547760
1;1;-67.918120;0.642643;-13.029596
1;1;-28.231696;0.642643;66.155753
1;1;58.958596;0.642643;50.561367
1;1;68.737349;0.642643;-37.471057
1;1;-12.905218;0.642643;-71.819611
1;1;-69.001788;0.642643;-3.273958
1;1;-19.184174;0.642643;69.962215
1;1;65.175144;0.642643;42.965228
1;1;63.216626;0.642643;-45.586994
1;1;-22.253806;0.642643;-68.827840
1;1;-68.784748;0.642643;6.539283
1;1;-9.712452;0.642643;72.537735
1;1;70.331642;0.642643;34.613142
1;1;56.670312;0.642643;-52.900856
1;1;-31.124188;0.642643;-64.625087
1;1;-67.270817;0.642643;16.237469
1;1;0.016819;0.642643;73.836999
1;1;74.337364;0.642643;25.652060
1;1;49.213584;0.642643;-59.283960
1;1;-39.360293;0.642643;-59.285295
1;1;-64.486633;0.642643;25.649967
1;1;9.832460;0.642643;73.837147
1;1;77.121832;0.642643;16.239645
1;1;40.977640;0.642643;-64.624000
1;1;-46.817213;0.642643;-52.902416
1;1;-60.481181;0.642643;34.611170
1;1;19.561770;0.642643;72.538176
1;1;78.636055;0.642643;6.541505
1;1;32.107385;0.642643;-68.827021
1;1;-53.363748;0.642643;-45.588751
1;1;-55.324935;0.642643;42.963411
1;1;29.033569;0.642643;69.962941
1;1;78.853391;0.642643;-3.271730
1;1;22.758887;0.642643;-71.819073
1;1;-58.884715;0.642643;-37.472981
1;1;-49.108616;0.642643;50.559738
1;1;38.081205;0.642643;66.156753
1;1;77.770016;0.642643;-13.027400
1;1;13.096625;0.642643;-73.547514
1;1;-63.282977;0.642643;-28.697897
1;1;-41.941595;0.642643;57.266498
1;1;46.545493;0.642643;61.186577
1;1;75.404992;0.642643;-22.553861
1;1;3.290602;0.642643;-73.981932
1;1;-66.481149;0.642643;-19.417892
1;1;-33.949973;0.642643;62.965689
1;1;54.277506;0.642643;55.139862
1;1;71.799930;0.642643;-31.683502
1;1;-6.486651;0.642643;-73.114684
1;1;-68.422961;0.642643;-9.796241
1;1;-25.274357;0.642643;67.557038
1;1;61.141207;0.642643;48.122995
1;1;67.018259;0.642643;-40.255690
1;1;-16.063111;0.642643;-70.961029
1;1;-69.074248;0.642643;-0.002231
1;1;-16.067389;0.642643;70.959764
1;1;78.925752;3.266019;0.000000
1;1;25.916754;3.266019;-70.960396
1;1;-57.165541;3.266019;-40.257562
1;1;-51.291154;3.266019;48.121300
1;1;35.123825;3.266019;67.557949
1;1;78.274760;3.266019;-9.794030
1;1;16.340359;3.266019;-73.114340
1;1;-61.947471;3.266019;-31.685518
1;1;-44.427665;3.266019;55.138374
1;1;43.799579;3.266019;62.966861
1;1;76.333238;3.266019;-19.415739
1;1;6.563132;3.266019;-73.981883
1;1;-65.552809;3.266019;-22.555986
1;1;-36.695833;3.266019;61.185322
1;1;51.791373;3.266019;57.267910
1;1;73.135346;3.266019;-28.695841
1;1;-3.242904;3.266019;-73.547760
1;1;-67.918120;3.266019;-13.029596
1;1;-28.231696;3.266019;66.155753
1;1;58.958596;3.266019;50.561367
1;1;68.737349;3.266019;-37.471057
1;1;-12.905218;3.266019;-71.819611
1;1;-69.001788;3.266019;-3.273958
1;1;-19.184174;3.266019;69.962215
1;1;65.175144;3.266019;42.965228
1;1;63.216626;3.266019;-45.586994
1;1;-22.253806;3.266019;-68.827840
1;1;-68.784748;3.266019;6.539283
1;1;-9.712452;3.266019;72.537735
1;1;70.331642;3.266019;34.613142
1;1;56.670312;3.266019;-52.900856
1;1;-31.124188;3.266019;-64.625087
1;1;-67.270817;3.266019;16.237469
1;1;0.016819;3.266019;73.836999
1;1;74.337364;3.266019;25.652060
1;1;49.213584;3.266019;-59.283960
1;1;-39.360293;3.266019;-59.285295
1;1;-64.486633;3.266019;25.649967
1;1;9.832460;3.266019;73.837147
1;1;77.121832;3.266019;16.239645
1;1;40.977640;3.266019;-64.624000
1;1;-46.817213;3.266019;-52.902416
1;1;-60.481181;3.266019;34.611170
1;1;19.561770;3.266019;72.538176
1;1;78.636055;3.266019;6.541505
1;1;32.107385;3.266019;-68.827021
1;1;-53.363748;3.266019;-45.588751
1;1;-55.324935;3.266019;42.963411
1;1;29.033569;3.266019;69.962941
1;1;78.853391;3.266019;-3.271730
1;1;22.758887;3.266019;-71.819073
1;1;-58.884715;3.266019;-37.472981
1;1;-49.108616;3.266019;50.559738
1;1;38.081205;3.266019;66.156753
1;1;77.770016;3.266019;-13.027400
